SNR,EKF_mean,EKF_sem,IEKF-4_mean,IEKF-4_sem,GN-6_mean,GN-6_sem,DU-tun-6_mean,DU-tun-6_sem
0,1.1683976895072523,0.03966279294565965,0.9612280332924895,0.03606167571482676,0.8932068820433111,0.03069805999241362,0.8009124733390756,0.024993584970872933
5,1.123378175381718,0.039066837963264295,0.8546128016065325,0.027682978484451552,0.7104635434535932,0.025817776121678383,0.6059787137596359,0.0185623926006075
10,1.0880412586522847,0.040534951404655566,0.7990589778816991,0.024306110994201907,0.5404769138691918,0.022661381586989184,0.4210535559074702,0.011717651984651654
15,1.0979106871463256,0.04393815611517733,0.644357445166824,0.02614390460083179,0.4268481147948076,0.020817553319560197,0.3219972623057241,0.011789205223461175
20,1.0785389290457887,0.037676711402478046,0.6044918087711982,0.029082383901256385,0.37379408896256744,0.019550448642508097,0.25759162830309196,0.010129360133958903
