L,EKF_mean,IEKF_mean,IEKF_sem,GN_mean,GN_sem,DU_mean,DU_sem
2,1.0880412586522847,0.8929323347256409,0.030521811671354124,0.885752168874544,0.03129718272435838,0.5903189142209716,0.018909586446899194
4,1.0880412586522847,0.7990589778816991,0.024306110994201907,0.6536490890187138,0.02374163728434416,0.4802294998430366,0.017674988637965326
6,1.0880412586522847,0.7990589778816991,0.024306110994201907,0.5404769138691918,0.022661381586989184,0.4210535559074702,0.011717651984651654
8,1.0880412586522847,0.7990589778816991,0.024306110994201907,0.4602515825342773,0.020808774008745163,0.41280190020049873,0.011234998231700528
