amplitude,p=0.01,p=0.02,p=0.05,p=0.1
0.5pi,-102.27762463425279,-91.23651127494578,-71.75050488718908,-51.02900179761134
1.0pi,8.256549697958214,18.128893533847958,24.848000268699018,31.698216848130905
1.5pi,-99.46287157631569,-88.15562417791523,-71.38122832893505,-55.239826053651974
