n_t,PCRB_tau,PCRB_nu,PCRB_phi
1,0.10784237149412636,0.03001740938784656,0.059176829125273216
2,0.0846427294249147,0.02859727088369416,0.044933595416515766
4,0.06817679716307892,0.02746545085222253,0.03440508714280041
8,0.0558508695942793,0.026294112706127682,0.026330279493746788
16,0.046078541351758706,0.02481770797595558,0.020116467100735915
