frame,true,EKF,GN-6,DU-tun-6
0,0.0,0.0008663957477414996,-0.013844999513104472,0.200761940941796
1,0.29466877520119095,0.3264420829385908,0.3221098457264153,0.4952118977762776
2,0.5865452250651075,0.6402842178572721,0.6397708513047715,0.8122819163131942
3,0.8636037997352135,0.9227995212308882,0.9227487941462709,1.075682137366094
4,1.1520190166380813,1.18040470361432,1.1793579308969893,1.2870494143473508
5,1.484777547568993,1.5037300008825127,1.505254098368197,1.5368824133545864
6,1.7906435225886712,1.8337771766326263,1.8350111350501876,1.778114817271696
7,2.1530228676658982,2.133085897057409,2.1343375067942656,2.066392408734287
8,2.4750840412452115,2.430772782709152,2.4316017807470427,2.3179911872228622
9,-0.3595942301482342,2.7108026239918264,2.628064308779132,0.6401735807147437
10,-0.0903186858923748,2.9516778113539743,1.5441527729017377,0.5904372478171247
11,0.1427805589732456,-3.0355211859722933,0.6269233132655905,0.6372210919321306
12,0.40249345814260407,-2.8121657568481293,0.5922125355660297,0.732971934925994
13,0.677724912202081,-2.5966233798514162,0.7250022465220329,0.8419753518696602
14,0.9608344699895062,-2.419441090410161,0.9391152089762622,0.9909518906659649
15,1.1768496618481556,-2.301183571688992,1.156954516710905,1.1544088354939
16,1.4648076824624292,-2.330474600207444,1.4170467185873292,1.2922264729617456
17,1.7191844501756153,-2.5887715349555753,1.6970910922873808,1.4858626229104042
18,1.9812184874637717,-3.0126641695317113,1.9900867785618512,1.860923626060769
19,2.2944244660603808,2.7935152913039056,2.2058292283758174,2.097806093148944
20,2.624497129105075,2.7425707393194516,2.566754667011473,2.327483464122425
21,2.88395796738628,2.8888773063092703,2.852694700385129,2.639888860174823
22,-3.1123393105362984,3.11126857665921,3.113124227679334,2.86709434621733
23,-2.8917008316565957,-2.958738302885177,-2.945736519714089,3.094439807084443
24,-2.6418814929107053,-2.6519817803300767,-2.637387773824297,-2.967063888706593
25,-2.504462821532012,-2.4640265782127653,-2.448816434392056,-2.7126378153368558
26,-2.3382873139007714,-2.3088108067794697,-2.2908432014713185,-2.442994998988112
27,-2.0746632124122018,-2.097749157153546,-2.0772655746860127,-2.1812006104736907
28,-1.9235035826951996,-1.9592953764035212,-1.9464950067854858,-1.9782296371656798
