L,GN_mean,DU_mean,EKF
2,5.877864583333333,4.65234375,9.897395833333333
4,4.016666666666667,3.676041666666667,9.897395833333333
6,3.698958333333333,3.24609375,9.897395833333333
8,3.3971354166666665,3.3466145833333334,9.897395833333333
