p_slip,EKF_mean,GN-6_mean,DU-tun-6_mean
0.0,0.1409375,0.115625,0.6996875
0.01,3.3175,0.881875,1.2003125
0.02,4.6640625,1.5565625,1.67875
0.05,10.3228125,3.9115625,3.2484375
0.1,14.5484375,6.930625,5.2309375
