amplitude,p=0.01,p=0.02,p=0.05,p=0.1
0.5pi,-137.26631897842628,-120.7034098658837,-91.11155269982054,-63.755095814205944
1.0pi,-5.494638736717147,11.11542538810316,23.58924967439468,30.59174851796225
1.5pi,-132.82793594648038,-116.61928730442186,-90.29023148067,-68.68828135240432
