n_t,PCRB_tau,PCRB_nu,PCRB_phi
1,0.10784237149412639,0.030017409387846555,0.059176829125273216
2,0.0846427294249147,0.028597270883694157,0.044933595416515766
4,0.06817679716307894,0.027465450852222528,0.03440508714280041
8,0.0558508695942793,0.02629411270612768,0.026330279493746788
16,0.046078541351758706,0.024817707975955578,0.02011646710073591
