frame,true,EKF,GN-6,DU-tun-6
0,0.0,-0.0022981786927749326,-0.014131415892280508,0.22415631969103078
1,0.29466877520119095,0.32530818287027685,0.3220917112140076,0.5242215643020591
2,0.5865452250651075,0.6400933353029519,0.6397755526064168,0.8552952953572261
3,0.8636037997352135,0.922508277209273,0.922685027176577,1.120536813866046
4,1.1520190166380813,1.179970564063745,1.179206072214889,1.319383358770061
5,1.484777547568993,1.5039814915262149,1.505279915068142,1.5564569088217741
6,1.7906435225886712,1.8342364375007882,1.8351067353868817,1.782889173681217
7,2.1530228676658982,2.1333414362082195,2.134362770330089,2.059742517269745
8,2.4750840412452115,2.4309376461668037,2.4315944237480966,2.2941134795475833
9,-0.3595942301482342,2.7114964139230784,2.6266168726476993,0.6063136663017552
10,-0.0903186858923748,2.9530212855163107,1.5092360269893677,0.6088077909885201
11,0.1427805589732456,-3.032323385318344,0.6112070990210241,0.666844403608803
12,0.40249345814260407,-2.806381888780517,0.5865352662291796,0.7587192141841053
13,0.677724912202081,-2.586191544321467,0.7231195198834355,0.8592893838587798
14,0.9608344699895062,-2.4011460301277783,0.938740241761411,0.9973198183758658
15,1.1768496618481556,-2.2682257429740162,1.1570527869994507,1.1486637832017923
16,1.4648076824624292,-2.271841399555774,1.41738101824477,1.262303359060934
17,1.7191844501756153,-2.49416680222555,1.6975813138736715,1.4401268621100227
18,1.9812184874637717,-2.89904547754303,1.9907696985485712,1.8337166614669584
19,2.2944244660603808,2.879646450951652,2.206242452673692,2.0699471763279647
20,2.624497129105075,2.7702054263049636,2.5674796525690606,2.2867640603889843
21,2.88395796738628,2.8996504292964476,2.8532917523431705,2.6026088186927856
22,-3.1123393105362984,3.1163892440204233,3.1135703648757946,2.8199477318425874
23,-2.8917008316565957,-2.9558614393576192,-2.945457070547614,3.040811869525103
24,-2.6418814929107053,-2.649036876662694,-2.6369213916488174,-3.0279382833639454
25,-2.504462821532012,-2.4625271844723136,-2.448644203964307,-2.771498171415693
26,-2.3382873139007714,-2.3081841974567876,-2.29085095876432,-2.487067305155977
27,-2.0746632124122018,-2.096922048324095,-2.077154583010004,-2.2145197012502145
28,-1.9235035826951996,-1.9591210547303568,-1.946615242808641,-2.0077859573939922
