L,EKF_mean,IEKF_mean,IEKF_sem,GN_mean,GN_sem,DU_mean,DU_sem
2,1.0880412586522907,0.8929323347256397,0.030521811671353778,0.8857521688745441,0.0312971827243584,0.590318914220971,0.018909586446899034
4,1.0880412586522907,0.7990589778816997,0.024306110994201876,0.653649089018714,0.023741637284344152,0.48022949984304003,0.017674988637966405
6,1.0880412586522907,0.7990589778816997,0.024306110994201876,0.5404769138691919,0.022661381586989195,0.42105355590746946,0.011717651984651389
8,1.0880412586522907,0.7990589778816997,0.024306110994201876,0.4602515825342772,0.02080877400874518,0.4128019002004996,0.011234998231700207
