SNR,EKF_mean,EKF_std,GN-6_mean,GN-6_std,DU-tun-6_mean,DU-tun-6_std
0,25.6640625,5.4131715987776055,22.1925,3.2027338785598474,23.435,2.6747122362742126
5,15.4996875,6.017655290502481,10.0046875,3.4318028072446847,10.954375,2.7645254523267644
10,10.3228125,5.964102706505816,3.9115625,2.5760121266334326,3.2484375,1.6152713587815515
15,9.2428125,5.874284331410083,1.8978125,1.3653977928840004,0.63125,0.805119726151024
20,8.50375,5.573077688483717,1.3153125,1.0011367562363795,0.2109375,0.3489661068785907
