SNR,EKF_mean,EKF_sem,IEKF-4_mean,IEKF-4_sem,GN-6_mean,GN-6_sem,DU-tun-6_mean,DU-tun-6_sem
0,1.1683976895072523,0.03966279294565965,0.9612280332924895,0.03606167571482679,0.8932068820433107,0.030698059992413623,0.8009124733390772,0.024993584970873037
5,1.1233781753817198,0.0390668379632646,0.8546128016065276,0.0276829784844509,0.7104635434535926,0.025817776121678276,0.6059787137596362,0.01856239260060752
10,1.0880412586522907,0.04053495140465805,0.7990589778816997,0.024306110994201876,0.5404769138691919,0.022661381586989195,0.42105355590746946,0.011717651984651389
15,1.0979106871463569,0.04393815611518789,0.6443574451668244,0.026143904600831887,0.4268481147948088,0.0208175533195606,0.32199726230570097,0.011789205223454027
20,1.078538929045789,0.03767671140247818,0.6044918087711786,0.02908238390125016,0.37379408896256733,0.019550448642508066,0.25759162830298193,0.010129360133904851
