experiment,sweep_variable,sweep_value,method,metric,mean,std,sem,n_seeds,n_frames
ber_vs_snr,snr_db,0,EKF,BER_pct,25.06953125,7.330591977142881,1.3383768619158505,30,100
ber_vs_snr,snr_db,0,IEKF-4,BER_pct,18.51796875,1.1426782140990361,0.2086235446105866,30,100
ber_vs_snr,snr_db,0,GN-6,BER_pct,17.135677083333334,0.8767966193710214,0.16008042892459318,30,100
ber_vs_snr,snr_db,0,DU-tun-6,BER_pct,16.669010416666666,0.5254798593417112,0.09593905749203233,30,100
ber_vs_snr,snr_db,5,EKF,BER_pct,15.570833333333333,10.173869918731215,1.8574860172041125,30,100
ber_vs_snr,snr_db,5,IEKF-4,BER_pct,5.69140625,1.0460949169149578,0.19098992776193832,30,100
ber_vs_snr,snr_db,5,GN-6,BER_pct,4.50625,0.6325565325937937,0.11548849393295756,30,100
ber_vs_snr,snr_db,5,DU-tun-6,BER_pct,4.093489583333334,0.28810005409151646,0.05259963281479403,30,100
ber_vs_snr,snr_db,10,EKF,BER_pct,10.671614583333334,4.945559533116008,0.9029315052574517,30,100
ber_vs_snr,snr_db,10,IEKF-4,BER_pct,1.7177083333333334,1.0807989435305743,0.19732598716648259,30,100
ber_vs_snr,snr_db,10,GN-6,BER_pct,0.4901041666666667,0.45156850726492453,0.08244475256264489,30,100
ber_vs_snr,snr_db,10,DU-tun-6,BER_pct,0.16536458333333334,0.21237055008294986,0.03877338027673742,30,100
ber_vs_snr,snr_db,15,EKF,BER_pct,11.117447916666666,5.422904742561565,0.9900824182342383,30,100
ber_vs_snr,snr_db,15,IEKF-4,BER_pct,7.6953125,18.34179089215419,3.348737538891885,30,100
ber_vs_snr,snr_db,15,GN-6,BER_pct,3.83828125,11.36553362646285,2.0750530484323995,30,100
ber_vs_snr,snr_db,15,DU-tun-6,BER_pct,2.408333333333333,12.967821241425483,2.3675894052077946,30,100
ber_vs_snr,snr_db,20,EKF,BER_pct,12.815104166666666,11.906838543068927,2.173881352870266,30,100
ber_vs_snr,snr_db,20,IEKF-4,BER_pct,3.2690104166666667,6.304991693964332,1.1511287252223243,30,100
ber_vs_snr,snr_db,20,GN-6,BER_pct,4.109635416666666,10.824020965603484,1.976186815256626,30,100
ber_vs_snr,snr_db,20,DU-tun-6,BER_pct,0.6989583333333333,3.4886766545994523,0.6369422998552596,30,100
rmse_vs_snr,snr_db,0,EKF,RMSE,0.5482643150680846,0.3393420096949773,0.06195509113969195,30,100
rmse_vs_snr,snr_db,0,IEKF-4,RMSE,0.31949827170378897,0.10011877561546775,0.01827910394479662,30,100
rmse_vs_snr,snr_db,0,GN-6,RMSE,0.19707929339383395,0.0642286480757798,0.011726493129721792,30,100
rmse_vs_snr,snr_db,0,DU-tun-6,RMSE,0.16336723204813766,0.03707466821387144,0.006768877364252385,30,100
rmse_vs_snr,snr_db,5,EKF,RMSE,0.5038030033503895,0.377000612601067,0.06883057990495692,30,100
rmse_vs_snr,snr_db,5,IEKF-4,RMSE,0.21102729427552994,0.07520457132338115,0.013730413380440667,30,100
rmse_vs_snr,snr_db,5,GN-6,RMSE,0.12429665563851097,0.035599420042336204,0.006499535130429685,30,100
rmse_vs_snr,snr_db,5,DU-tun-6,RMSE,0.10540612693792366,0.026256773400782293,0.004793809026303365,30,100
rmse_vs_snr,snr_db,10,EKF,RMSE,0.40439258988154986,0.1700052336682592,0.03103856712468077,30,100
rmse_vs_snr,snr_db,10,IEKF-4,RMSE,0.1451059695724885,0.045623639256914365,0.008329698792163411,30,100
rmse_vs_snr,snr_db,10,GN-6,RMSE,0.08415104506833264,0.02324960093606876,0.004244776961892695,30,100
rmse_vs_snr,snr_db,10,DU-tun-6,RMSE,0.07279585608390889,0.018463826243358142,0.0033710180437810417,30,100
rmse_vs_snr,snr_db,15,EKF,RMSE,0.4062564813855885,0.20679693530797946,0.03775578209703897,30,100
rmse_vs_snr,snr_db,15,IEKF-4,RMSE,0.30107819173848316,0.5769494872618158,0.10533608290477868,30,100
rmse_vs_snr,snr_db,15,GN-6,RMSE,0.18020927178192928,0.40383428082046424,0.07372971503308137,30,100
rmse_vs_snr,snr_db,15,DU-tun-6,RMSE,0.1271505770594303,0.4006259796952057,0.07314396206722361,30,100
rmse_vs_snr,snr_db,20,EKF,RMSE,0.4431508376185817,0.40841622347887896,0.07456625948348435,30,100
rmse_vs_snr,snr_db,20,IEKF-4,RMSE,0.16296062573576073,0.2764216207347125,0.050467452352846595,30,100
rmse_vs_snr,snr_db,20,GN-6,RMSE,0.1907491607502533,0.4396275806821735,0.08026464761368295,30,100
rmse_vs_snr,snr_db,20,DU-tun-6,RMSE,0.06442511576866942,0.1111048510330487,0.020284877719683975,30,100
