amplitude_pi,p_slip,GN6_rmse_mean,GN6_rmse_std,DU_rmse_mean,DU_rmse_std,improvement_vs_GN_pct,n_seeds
0.25,0.01,0.09295005167861893,0.01767592794009707,0.09193496365254854,0.01709917309413259,1.0920790335653912,25
0.25,0.03,0.0900217691190924,0.016084734672965822,0.08944037227071952,0.01626881202258153,0.6458402829250522,25
0.25,0.05,0.09127265956097873,0.01805589765355041,0.09042712214712667,0.017659728790319153,0.9263863000367143,25
0.25,0.1,0.09218875008512996,0.0164247453600615,0.09160289664183364,0.016419043323748876,0.63549342273902,25
0.5,0.01,0.09303725379783735,0.018392708842975992,0.09189009764813026,0.017827701891215776,1.2330073200567278,25
0.5,0.03,0.08915636401601504,0.01764179674934602,0.08831625561360971,0.018027813313270927,0.9422865228716774,25
0.5,0.05,0.09328344725243885,0.01719239244752756,0.09122700517439669,0.017502321621771486,2.204509094177367,25
0.5,0.1,0.09057139424984915,0.011549209636485903,0.08892410526790334,0.011661594775360565,1.8187740131300416,25
0.75,0.01,0.09203563285683439,0.015074116823749045,0.09104780489434067,0.014389518354080177,1.073310338431998,25
0.75,0.03,0.09059480577793971,0.018693219133923855,0.0891701346458241,0.018359651754291682,1.5725748511539135,25
0.75,0.05,0.0910218396358211,0.016416551783092516,0.08926297710540677,0.016381753659106043,1.9323522106909095,25
0.75,0.1,0.09610626344995245,0.018085885630931494,0.0918301487750329,0.01680511592125604,4.449361073273174,25
1.0,0.01,0.0971802557106817,0.01650071934670022,0.09423843616675923,0.015919917693712128,3.027178229166895,25
1.0,0.03,0.10220168167113805,0.020382323294635504,0.09538307129666275,0.016255810909020653,6.671720330802433,25
1.0,0.05,0.11947532861438909,0.02682394169006963,0.10212683377198735,0.018594211807640443,14.520566750977206,25
1.0,0.1,0.12750333793847604,0.02789880423054035,0.10360879663177716,0.021731695186311052,18.740326091093138,25
