n_t,n_f=4,n_f=8,n_f=16,n_f=32
1,0.030920284941352193,0.030017409387846555,0.02938201819458179,0.02894299299911813
2,0.029428368294269168,0.028597270883694157,0.027811026251488753,0.026901914531650747
4,0.02832558333088849,0.027465450852222528,0.026444234610020226,0.02505908679228844
8,0.02734090145031756,0.02629411270612768,0.024879257714676483,0.022951551566471846
