T_us,PCRB,GN,DU
50.0,0.039269296533918925,0.04597204089038406,0.0741059955663189
100.0,0.027465450852222528,0.03275326541915637,0.05615134088397312
200.0,0.020051612169371076,0.023652196459737932,0.03893097677447662
400.0,0.014766000187978879,0.017392204540230653,0.027674212967156598
