amplitude_pi,p_slip,EKF_rmse_mean,EKF_rmse_std,GN6_rmse_mean,GN6_rmse_std,DU_rmse_mean,DU_rmse_std,improvement_vs_EKF_pct,improvement_vs_GN_pct,n_seeds
0.5,0.01,0.13567251718330955,0.04712623743199149,0.1096243273468821,0.022689810044646926,0.10720409772862574,0.020858077033020544,20.98318808091371,2.2077486602021046,20
0.5,0.02,0.16722795266960705,0.04841488201246013,0.12546110971770302,0.030602461798499545,0.11878228670178193,0.02466520387854252,28.96983739527053,5.32342096363483,20
0.5,0.05,0.2629318411879119,0.05717044481954953,0.17444208828674984,0.03259767644044578,0.15968327300132706,0.02720616816773493,39.268187420783036,8.460581635070817,20
0.5,0.1,0.37325144057145704,0.07469160096212153,0.23715061736781076,0.05500546924222921,0.21333797845374686,0.04282318002624668,42.84336099892308,10.041145656024792,20
1.0,0.01,0.45921708771473535,0.3515212449206407,0.23669527719436023,0.13587347513116116,0.2012856445674475,0.11387452182903238,56.16764925514147,14.960008094219992,20
1.0,0.02,0.7371325406485452,0.2889421554178523,0.34646911875892505,0.13035949649725587,0.28049286059478373,0.10829064884594437,61.948110397080015,19.042464275163272,20
1.0,0.05,1.128692704114516,0.18252396536602294,0.5463986880516808,0.09278993981349436,0.4362482575793825,0.0753601105470322,61.349244485315545,20.159351199225384,20
1.0,0.1,1.3112785886770661,0.17120934496569135,0.7064393571219467,0.10978299677835619,0.5725724072541285,0.09245042942848539,56.3348008426043,18.94953169274088,20
1.5,0.01,0.13486679361273984,0.04308334953543648,0.11017539578368878,0.024960652654415216,0.10802507609702956,0.02350634351237423,19.902391683444563,1.9517240408929517,20
1.5,0.02,0.1652893214883326,0.043476281213131816,0.12459612151710116,0.027388754681961724,0.11842906921746903,0.022281174551170756,28.350441425323012,4.9496342458667035,20
1.5,0.05,0.2654609229623979,0.05083255662144051,0.1766782504651328,0.030491855616544977,0.16105398970337778,0.026098402570632177,39.33043405933204,8.843341339764086,20
1.5,0.1,0.37539965587742474,0.06832991398307418,0.23336493227666505,0.05279659538012006,0.2073090100335948,0.04192026866478826,44.77645176603859,11.165311766799531,20
